Product_ID,Region,Demand,Lead_Time,Supplier_Reliability,Promotion,Seasonality_Factor,Date,Stock_Remaining,Stock_Needed,Transportation_Cost,Distance_to_Be_Covered,Profit,Loss,Carbon_Footprint,Transportation_Risk,Warehouse_Capacity,Order_Frequency
1,0,864,9,0.8331496353930442,0,1.3950851727663145,2023-01-01,181,314,444.2406999441162,287.65588198332676,3510.549611282924,14.616884317613987,304.8128905424031,0.3748263556651933,212,5
2,3,61,4,0.9781711069966293,0,1.4720534746234883,2023-01-02,490,517,105.2925116774473,677.0249237544631,2163.5905223168893,624.7801006840635,107.8482190372022,0.8763896725096515,714,22
3,1,367,5,0.8483073683403364,0,1.3593249510704761,2023-01-03,146,251,373.7900407513911,928.4350095905812,1459.1169693790478,116.9135721755914,223.9441984283365,0.5665293691469887,648,10
4,0,641,5,0.8708542654434431,1,0.6100177211275436,2023-01-04,426,982,107.63906224128176,354.04914321406636,4481.92778245839,770.4116367112732,88.4937502515035,0.46928913413262197,205,7
5,0,265,8,0.8210690968962667,0,1.4474279980597933,2023-01-05,267,204,382.7491382173754,335.82796216063053,4914.673820065454,865.9659535008205,337.1048631175109,0.6262059720209617,798,7
6,3,388,7,0.8444722609496341,0,0.923358027350786,2023-01-06,10,62,354.2485458928019,575.7242649671973,590.0661192781977,944.7367902839263,177.09226985420366,0.7526713369421549,463,10
7,1,825,9,0.9038449141560411,0,0.5093102907623537,2023-01-07,69,346,159.339145167589,253.0467929171971,2959.1008295031406,664.4769629063916,439.7423591144186,0.41536652388059936,120,10
8,1,710,14,0.9215505366191306,0,0.9423937407481936,2023-01-08,255,945,406.4487005380521,655.0631387004495,2037.660705991392,482.01489289230415,211.0082129688614,0.12636334009171035,759,25
9,0,130,8,0.8490704628332423,1,0.5460691696754676,2023-01-09,395,883,127.33904727587645,833.9391529657562,1746.4530892424416,352.2810807057991,272.585238358963,0.6670450383763291,228,15
10,2,776,2,0.8115464318450235,0,1.0438779211611176,2023-01-10,218,547,430.55950949785336,464.7253200476457,2010.6787589147098,490.92509398633075,78.5855288776888,0.8649334275979081,582,6
11,0,534,10,0.8782065738254797,0,0.8385540274370513,2023-01-11,296,646,204.77169793929158,682.7122516790986,3374.9499039179027,190.35222836031352,174.01667748978645,0.5999893202210704,798,24
12,0,423,12,0.8468406741852669,0,0.9734349335940488,2023-01-12,408,841,375.540744920266,655.3665696441653,1358.222046034077,348.42264778909305,354.5452722607688,0.25073158283637864,895,2
13,0,759,4,0.8439107846459604,0,1.113170360743117,2023-01-13,361,294,469.4757364087481,48.278906229113616,4607.873202460776,717.9305248344979,381.31824549993803,0.2985940257448883,298,8
14,0,249,6,0.991972560542691,0,1.3688010958178203,2023-01-14,258,349,235.93080986937957,191.58213222401864,2597.515362227641,217.42297113421316,159.26983475505514,0.8278005749050994,846,25
15,3,586,12,0.9232600971851448,0,1.1619015764719287,2023-01-15,2,411,301.1576311761677,894.5947017999487,1965.0957491719778,264.067135673665,276.71904442431855,0.11084967648357652,719,20
16,1,515,2,0.9113756886344192,0,0.9340488684781807,2023-01-16,83,403,285.2472135801802,939.5032258913692,3944.8909919641956,749.3282557078487,417.8889973420273,0.538997332370734,620,15
17,3,138,7,0.8831550207046645,1,1.3194278536703652,2023-01-17,155,877,163.04453962514725,782.6352435120656,573.559993562867,177.8359358272208,220.9595724002999,0.22694211615516463,519,21
18,3,317,3,0.8857888666860289,0,1.4055821375731323,2023-01-18,150,570,336.1248041963047,922.0356668444177,2443.337895821166,245.88758647337772,110.19707031055515,0.3262115481736635,325,21
19,3,704,13,0.9081810007676162,0,0.6197599664321972,2023-01-19,175,435,397.2007674083792,313.08716440938906,2098.8662045055344,17.547562822650352,244.34167532561116,0.34558531959460814,308,18
20,0,620,3,0.9392859614072214,1,1.0319329775527915,2023-01-20,194,808,466.7499315695277,255.23386206125653,2021.9445949538049,720.0515995351068,320.28289944441406,0.27542619819066205,344,5
21,2,971,11,0.9404292192363659,1,0.7845119597424441,2023-01-21,425,361,440.32104065980513,390.4571856849148,2016.8211294076243,617.9035655664339,53.32933768657078,0.7338816501649247,387,25
22,1,538,2,0.83433878154109,0,0.5470611978769474,2023-01-22,471,463,304.0077518912127,64.78857856494832,640.7211998627033,694.3854525115413,206.855378006328,0.3657673391830071,165,4
23,2,926,11,0.9000225504153254,1,1.1685466951139853,2023-01-23,106,327,387.6068618047739,811.7729028509145,1184.523813539779,214.32776195331314,323.3461194028241,0.3763879930124304,967,10
24,3,587,8,0.8823916190068204,1,1.3627707774592257,2023-01-24,423,799,420.3133653495571,984.3337302639264,1138.483216905865,687.3763907278714,478.3603775201016,0.46240545095476726,252,19
25,3,96,6,0.9741053932538768,0,0.662902654477394,2023-01-25,133,764,297.3954854953395,825.7889995122438,4948.747271687849,596.3766176932567,233.84692961404912,0.821836230992338,590,14
26,2,337,1,0.9262837842436753,0,1.3124136576239005,2023-01-26,275,808,146.1710242817071,559.4255815040226,599.7459015077529,366.1229792220033,123.33751946569684,0.6505384256213465,534,23
27,2,827,12,0.9065008132831964,0,1.3533957335369418,2023-01-27,394,796,275.1723055389483,302.3291507781203,1251.831453583992,437.8258116344047,290.39859408508397,0.14939976333422217,802,24
28,2,65,1,0.8230789284357836,1,1.4143404426664836,2023-01-28,351,642,436.99121528062597,205.72090965814482,4883.785288964135,567.9205032734081,178.58856249485618,0.1314095368292593,317,13
29,3,760,7,0.9211275778646824,0,0.7652850890860524,2023-01-29,379,405,338.656562157494,370.4222430786934,3327.1546721450195,493.2921760875567,146.65072969165277,0.5531113836616204,528,29
30,3,450,8,0.8234407811360467,0,1.4039530651898893,2023-01-30,154,574,389.78335080373563,670.2998342527243,2528.0020427302907,641.8280659693711,315.6814665626279,0.8096484493817663,601,10
31,1,968,5,0.8674413151131505,1,0.8206627547364322,2023-01-31,276,888,174.10720886103502,452.5909399854154,854.4241987086646,180.97957760599513,462.14759045138265,0.3586011808004729,765,22
32,1,843,12,0.8285683929628664,0,1.0523380134555027,2023-02-01,235,65,485.73510728440226,934.7192218836412,3513.4752273479453,540.7099549161969,425.85089195267864,0.29821746312173475,888,6
33,3,135,11,0.9384147294048738,0,0.5505074708322821,2023-02-02,239,94,261.63221179732375,855.6781395360752,1120.1134445657053,450.2794828645408,132.03164249109162,0.6985528362504633,693,13
